production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Pastoral,Neonate,Neonatal,Overall,Production loss,External,Cause 4,653456290.634416,659022484.92623,152790278.1328088,359553539.7859247,958491430.0665352,0.36748632171743295,29.06975,22670387.083694562,22478909.88516984,12368649.189825322,32972124.9775638,5255988.721361856
Pastoral,Neonate,Neonatal,Overall,Production loss,External,Cause 5,653456290.634416,659022484.92623,152790278.1328088,359553539.7859247,958491430.0665352,0.36748632171743295,29.06975,22670387.083694562,22478909.88516984,12368649.189825322,32972124.9775638,5255988.721361856
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,Cause 1,,4262884.317665547,106424.62835779748,4054292.0460842643,4471476.58924683,0.0023770838076658317,29.06975,146643.30851367992,,139467.73006593675,153818.88696142312,3661.009412113881
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,Cause 2,,4262884.317665547,106424.62835779748,4054292.0460842643,4471476.58924683,0.0023770838076658317,29.06975,146643.30851367992,,139467.73006593675,153818.88696142312,3661.009412113881
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,Cause 3,,4262884.317665547,106424.62835779748,4054292.0460842643,4471476.58924683,0.0023770838076658317,29.06975,146643.30851367992,,139467.73006593675,153818.88696142312,3661.009412113881
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,Cause 4,,4262884.317665547,106424.62835779748,4054292.0460842643,4471476.58924683,0.0023770838076658317,29.06975,146643.30851367992,,139467.73006593675,153818.88696142312,3661.009412113881
Crop livestock mixed,Adult female,Adult,Female,Health Cost,External,Cause 5,,4262884.317665547,106424.62835779748,4054292.0460842643,4471476.58924683,0.0023770838076658317,29.06975,146643.30851367992,,139467.73006593675,153818.88696142312,3661.009412113881
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,Cause 1,,992756.465815872,25041.762455847485,943674.6114024109,1041838.320229333,0.0005535841800977567,29.06975,34150.842914571745,,32462.4261096986,35839.25971944489,861.4371453434408
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,Cause 2,,992756.465815872,25041.762455847485,943674.6114024109,1041838.320229333,0.0005535841800977567,29.06975,34150.842914571745,,32462.4261096986,35839.25971944489,861.4371453434408
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,Cause 3,,992756.465815872,25041.762455847485,943674.6114024109,1041838.320229333,0.0005535841800977567,29.06975,34150.842914571745,,32462.4261096986,35839.25971944489,861.4371453434408
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,Cause 4,,992756.465815872,25041.762455847485,943674.6114024109,1041838.320229333,0.0005535841800977567,29.06975,34150.842914571745,,32462.4261096986,35839.25971944489,861.4371453434408
Crop livestock mixed,Adult male,Adult,Male,Health Cost,External,Cause 5,,992756.465815872,25041.762455847485,943674.6114024109,1041838.320229333,0.0005535841800977567,29.06975,34150.842914571745,,32462.4261096986,35839.25971944489,861.4371453434408
