iso3,year,incomegroup,flag
PRK,2004,L,
KOR,2004,H,
XKX,2004,..,
KWT,2004,H,
KGZ,2004,L,
LAO,2004,L,
LVA,2004,UM,
LBN,2004,UM,
LSO,2004,L,
LBR,2004,L,
LBY,2004,UM,
LIE,2004,H,
LTU,2004,UM,
LUX,2004,H,
MAC,2004,H,
MDG,2004,L,
MWI,2004,L,
MYS,2004,UM,
MDV,2004,LM,
MLI,2004,L,
MLT,2004,H,
MHL,2004,LM,
MRT,2004,L,
MUS,2004,UM,
MEX,2004,UM,
FSM,2004,LM,
MDA,2004,L,
MCO,2004,H,
MNG,2004,L,
MNE,2004,..,
MAR,2004,LM,
MOZ,2004,L,
MMR,2004,L,
NAM,2004,LM,
NRU,2004,..,
NPL,2004,L,
NLD,2004,H,
NCL,2004,H,
NZL,2004,H,
NIC,2004,L,
NER,2004,L,
NGA,2004,L,
MKD,2004,LM,
MNP,2004,UM,
NOR,2004,H,
OMN,2004,UM,
PAK,2004,L,
PLW,2004,UM,
PAN,2004,UM,
PNG,2004,L,
PRY,2004,LM,
PER,2004,LM,
PHL,2004,LM,
POL,2004,UM,
PRT,2004,H,
PRI,2004,H,
QAT,2004,H,
ROU,2004,LM,
RUS,2004,UM,
RWA,2004,L,
WSM,2004,LM,
SMR,2004,H,
STP,2004,L,
SAU,2004,H,
SEN,2004,L,
SRB,2004,..,
SYC,2004,UM,
SLE,2004,L,
SGP,2004,H,
SXM,2004,..,
SVK,2004,UM,
SVN,2004,H,
SLB,2004,L,
SOM,2004,L,
ZAF,2004,UM,
SSD,2004,..,
ESP,2004,H,
LKA,2004,LM,
KNA,2004,UM,
LCA,2004,UM,
MAF,2004,..,
VCT,2004,UM,
SDN,2004,L,
SUR,2004,LM,
SWE,2004,H,
CHE,2004,H,
SYR,2004,LM,
TWN,2004,H,
TJK,2004,L,
TZA,2004,L,
THA,2004,LM,
TLS,2004,L,
TGO,2004,L,
TON,2004,LM,
TTO,2004,UM,
TUN,2004,LM,
TUR,2004,UM,
TKM,2004,LM,
TCA,2004,..,
TUV,2004,..,
UGA,2004,L,
UKR,2004,LM,
ARE,2004,H,
GBR,2004,H,
USA,2004,H,
URY,2004,UM,
UZB,2004,L,
VUT,2004,LM,
VEN,2004,UM,
VNM,2004,L,
VIR,2004,H,
PSE,2004,LM,
YEM,2004,L,
ZMB,2004,L,
ZWE,2004,L,
AFG,2005,L,
ALB,2005,LM,
DZA,2005,LM,
ASM,2005,UM,
AND,2005,H,
AGO,2005,LM,
ATG,2005,H,
ARG,2005,UM,
ARM,2005,LM,
ABW,2005,H,
AUS,2005,H,
AUT,2005,H,
AZE,2005,LM,
BHS,2005,H,
BHR,2005,H,
BGD,2005,L,
BRB,2005,UM,
BLR,2005,LM,
BEL,2005,H,
BLZ,2005,UM,
BEN,2005,L,
BMU,2005,H,
BTN,2005,L,
BOL,2005,LM,
BIH,2005,LM,
BWA,2005,UM,
BRA,2005,LM,
VGB,2005,..,
BRN,2005,H,
BGR,2005,LM,
BFA,2005,L,
BDI,2005,L,
CPV,2005,LM,
KHM,2005,L,
CMR,2005,LM,
CAN,2005,H,
CYM,2005,H,
CAF,2005,L,
TCD,2005,L,
CHI,2005,H,
CHL,2005,UM,
CHN,2005,LM,
COL,2005,LM,
COM,2005,L,
COD,2005,L,
COG,2005,LM,
CRI,2005,UM,
CIV,2005,L,
HRV,2005,UM,
CUB,2005,LM,
CUW,2005,..,
CYP,2005,H,
CZE,2005,UM,
DNK,2005,H,
DJI,2005,LM,
DMA,2005,UM,
DOM,2005,LM,
ECU,2005,LM,
EGY,2005,LM,
SLV,2005,LM,
GNQ,2005,UM,
ERI,2005,L,
EST,2005,UM,
SWZ,2005,LM,
ETH,2005,L,
FRO,2005,H,
FJI,2005,LM,
FIN,2005,H,
FRA,2005,H,
PYF,2005,H,
GAB,2005,UM,
GMB,2005,L,
GEO,2005,LM,
DEU,2005,H,
GHA,2005,L,
GIB,2005,..,
GRC,2005,H,
GRL,2005,H,
GRD,2005,UM,
GUM,2005,H,
GTM,2005,LM,
GIN,2005,L,
GNB,2005,L,
GUY,2005,LM,
HTI,2005,L,
HND,2005,LM,
HKG,2005,H,
HUN,2005,UM,
ISL,2005,H,
IND,2005,L,
IDN,2005,LM,
IRN,2005,LM,
IRQ,2005,LM,
IRL,2005,H,
IMN,2005,H,
ISR,2005,H,
ITA,2005,H,
JAM,2005,LM,
JPN,2005,H,
JOR,2005,LM,
KAZ,2005,LM,
KEN,2005,L,
KIR,2005,LM,
PRK,2005,L,
KOR,2005,H,
XKX,2005,..,
KWT,2005,H,
KGZ,2005,L,
LAO,2005,L,
LVA,2005,UM,
LBN,2005,UM,
LSO,2005,LM,
LBR,2005,L,
LBY,2005,UM,
LIE,2005,H,
LTU,2005,UM,
LUX,2005,H,
MAC,2005,H,
MDG,2005,L,
MWI,2005,L,
MYS,2005,UM,
MDV,2005,LM,
MLI,2005,L,
MLT,2005,H,
MHL,2005,LM,
MRT,2005,L,
MUS,2005,UM,
MEX,2005,UM,
FSM,2005,LM,
MDA,2005,LM,
MCO,2005,H,
MNG,2005,L,
MNE,2005,..,
MAR,2005,LM,
MOZ,2005,L,
MMR,2005,L,
NAM,2005,LM,
NRU,2005,..,
NPL,2005,L,
NLD,2005,H,
NCL,2005,H,
NZL,2005,H,
NIC,2005,LM,
NER,2005,L,
NGA,2005,L,
MKD,2005,LM,
MNP,2005,UM,
NOR,2005,H,
OMN,2005,UM,
PAK,2005,L,
PLW,2005,UM,
PAN,2005,UM,
PNG,2005,L,
PRY,2005,LM,
PER,2005,LM,
PHL,2005,LM,
POL,2005,UM,
PRT,2005,H,
PRI,2005,H,
QAT,2005,H,
ROU,2005,UM,
RUS,2005,UM,
RWA,2005,L,
WSM,2005,LM,
